order_id,order_date,region,category,channel,units_sold,unit_price,unit_cost,revenue,cost,profit
50001,2025-01-24,Midwest,Accessories,Partner,6,181.32,142.62,1087.92,855.72,232.2
50002,2025-03-21,West,Accessories,Retail,2,101.49,169.77,202.98,339.54,-136.56
50003,2025-05-14,Midwest,Electronics,Retail,5,298.77,40.62,1493.85,203.1,1290.75
50004,2025-08-01,South,Home Office,Online,1,252.17,297.51,252.17,297.51,-45.34
50005,2025-12-14,Midwest,Software,Retail,3,369.84,80.8,1109.52,242.4,867.12
50006,2025-06-15,Midwest,Software,Online,7,231.85,67.58,1622.95,473.06,1149.89
50007,2025-12-14,Midwest,Electronics,Online,1,182.55,162.77,182.55,162.77,19.78
50008,2025-12-03,West,Home Office,Online,3,160.87,165.79,482.61,497.37,-14.76
50009,2025-03-12,Midwest,Accessories,Retail,2,121.51,137.55,243.02,275.1,-32.08
50010,2025-08-02,Northeast,Accessories,Partner,2,147.56,233.85,295.12,467.7,-172.58
50011,2025-03-06,Midwest,Accessories,Online,4,65.52,159.83,262.08,639.32,-377.24
50012,2025-08-09,South,Accessories,Online,7,186.49,186.81,1305.43,1307.67,-2.24
50013,2025-11-04,Northeast,Accessories,Online,4,37.55,219.89,150.2,879.56,-729.36
50014,2025-10-13,South,Electronics,Retail,3,109.48,17.26,328.44,51.78,276.66
50015,2025-07-04,South,Accessories,Online,3,378.45,175.49,1135.35,526.47,608.88
50016,2025-07-26,South,Accessories,Online,2,176.23,266.42,352.46,532.84,-180.38
50017,2025-04-09,Northeast,Home Office,Retail,5,340.75,15.04,1703.75,75.2,1628.55
50018,2025-08-30,Northeast,Accessories,Online,3,364.1,127.5,1092.3,382.5,709.8
50019,2025-06-07,West,Software,Online,3,298.97,278.61,896.91,835.83,61.08
50020,2025-04-08,Northeast,Electronics,Online,7,480.17,112.41,3361.19,786.87,2574.32
50021,2025-02-11,Midwest,Electronics,Retail,5,30.29,143.03,151.45,715.15,-563.7
50022,2025-05-19,South,Electronics,Online,4,374.55,294.65,1498.2,1178.6,319.6
50023,2025-10-10,West,Software,Partner,4,480.22,67.8,1920.88,271.2,1649.68
50024,2025-08-15,Northeast,Accessories,Retail,3,433.89,28.92,1301.67,86.76,1214.91
50025,2025-03-13,South,Electronics,Online,7,100.59,259.23,704.13,1814.61,-1110.48
50026,2025-08-31,Northeast,Software,Online,4,176.87,261.85,707.48,1047.4,-339.92
50027,2025-01-18,West,Home Office,Online,4,102.78,146.9,411.12,587.6,-176.48
50028,2025-03-18,Northeast,Accessories,Online,6,308.63,159.12,1851.78,954.72,897.06
50029,2025-02-14,Northeast,Software,Partner,7,361.85,252.38,2532.95,1766.66,766.29
50030,2025-12-09,South,Accessories,Retail,4,172.2,224.18,688.8,896.72,-207.92
50031,2025-05-20,Midwest,Home Office,Online,2,278.96,86.89,557.92,173.78,384.14
50032,2025-06-26,Northeast,Software,Online,1,351.64,14.9,351.64,14.9,336.74
50033,2025-08-10,West,Accessories,Online,3,222.24,149.11,666.72,447.33,219.39
50034,2025-04-02,Northeast,Software,Online,3,429.93,259.08,1289.79,777.24,512.55
50035,2025-01-22,Northeast,Electronics,Online,2,390.34,269.79,780.68,539.58,241.1
50036,2025-06-21,Midwest,Accessories,Online,1,51.04,287.31,51.04,287.31,-236.27
50037,2025-04-02,South,Software,Partner,1,318.14,265.07,318.14,265.07,53.07
50038,2025-07-11,West,Electronics,Online,2,132.96,178.21,265.92,356.42,-90.5
50039,2025-03-18,South,Home Office,Online,5,287.61,138.94,1438.05,694.7,743.35
50040,2025-10-08,South,Accessories,Partner,5,479.31,234.71,2396.55,1173.55,1223.0
50041,2025-12-30,South,Accessories,Online,1,441.95,224.55,441.95,224.55,217.4
50042,2025-06-28,Northeast,Home Office,Online,5,214.17,166.06,1070.85,830.3,240.55
50043,2025-08-26,Midwest,Electronics,Online,5,159.93,35.32,799.65,176.6,623.05
50044,2025-05-15,Northeast,Home Office,Online,5,132.51,278.56,662.55,1392.8,-730.25
50045,2025-12-31,West,Accessories,Partner,1,275.61,142.12,275.61,142.12,133.49
50046,2025-10-07,Midwest,Software,Partner,5,74.84,115.37,374.2,576.85,-202.65
50047,2025-01-19,South,Electronics,Partner,3,283.65,192.57,850.95,577.71,273.24
50048,2025-03-24,Midwest,Electronics,Retail,6,20.64,205.41,123.84,1232.46,-1108.62
50049,2025-08-16,West,Electronics,Online,1,175.45,71.1,175.45,71.1,104.35
50050,2025-09-22,Northeast,Home Office,Partner,2,125.57,252.71,251.14,505.42,-254.28
50051,2025-04-22,Northeast,Home Office,Partner,5,486.19,94.08,2430.95,470.4,1960.55
50052,2025-09-08,South,Software,Online,4,369.08,64.14,1476.32,256.56,1219.76
50053,2025-06-13,Northeast,Software,Online,1,187.83,127.86,187.83,127.86,59.97
50054,2025-12-24,Northeast,Electronics,Online,7,64.57,221.86,451.99,1553.02,-1101.03
50055,2025-06-17,West,Software,Online,2,268.06,289.98,536.12,579.96,-43.84
50056,2025-08-09,Midwest,Home Office,Online,6,122.45,244.69,734.7,1468.14,-733.44
50057,2025-10-31,Northeast,Software,Partner,3,277.49,282.7,832.47,848.1,-15.63
50058,2025-07-10,West,Home Office,Partner,7,420.97,50.78,2946.79,355.46,2591.33
50059,2025-11-21,West,Software,Online,2,315.58,30.64,631.16,61.28,569.88
50060,2025-06-19,South,Accessories,Online,5,324.22,171.73,1621.1,858.65,762.45
50061,2025-02-14,West,Home Office,Retail,4,279.69,94.19,1118.76,376.76,742.0
50062,2025-01-14,South,Accessories,Retail,5,465.09,250.14,2325.45,1250.7,1074.75
50063,2025-08-19,Northeast,Home Office,Online,2,467.31,204.88,934.62,409.76,524.86
50064,2025-06-06,South,Software,Retail,1,266.11,291.51,266.11,291.51,-25.4
50065,2025-05-14,West,Accessories,Partner,7,166.76,83.89,1167.32,587.23,580.09
50066,2025-02-06,Midwest,Software,Partner,4,240.6,150.88,962.4,603.52,358.88
50067,2025-02-22,Midwest,Home Office,Online,7,109.55,155.36,766.85,1087.52,-320.67
50068,2025-01-18,Northeast,Accessories,Online,7,325.45,79.36,2278.15,555.52,1722.63
